year,total,enteric_fermentation,manure_management,rice_cultivation,agricultural_soils,prescribed_burning_of_savannas,field_burning_agricultural_residues,liming,urea_application,carbon_containing_fertilizers,other
1990,1998.15,1067.23,452.67,0.00,422.04,0.00,0.00,44.00,8.67,3.55,0.00
1991,1869.81,1005.28,422.81,0.00,386.97,0.00,0.00,44.00,7.66,3.09,0.00
1992,1986.71,1024.44,433.88,0.00,466.64,0.00,0.00,44.00,12.68,5.06,0.00
1993,1875.24,978.80,410.63,0.00,426.50,0.00,0.00,44.00,10.99,4.32,0.00
1994,1884.57,984.42,405.10,0.00,435.48,0.00,0.00,44.00,11.18,4.39,0.00
1995,1881.48,1027.70,375.17,0.00,433.67,0.00,0.00,28.67,12.27,4.00,0.00
1996,1805.14,994.98,352.78,0.00,419.68,0.00,0.00,23.80,9.80,4.10,0.00
1997,1752.93,941.09,349.59,0.00,431.42,0.00,0.00,14.81,11.67,4.35,0.00
1998,1790.26,961.56,353.88,0.00,441.33,0.00,0.00,17.27,11.75,4.48,0.00
1999,1803.31,999.83,325.96,0.00,442.83,0.00,0.00,18.65,11.62,4.42,0.00
2000,1888.42,1061.05,342.01,0.00,451.98,0.00,0.00,17.17,11.84,4.36,0.00
2001,1856.92,1039.47,334.45,0.00,449.97,0.00,0.00,16.56,12.04,4.44,0.00
2002,1914.89,1068.94,356.77,0.00,457.18,0.00,0.00,14.78,12.97,4.25,0.00
2003,1819.19,1012.13,334.58,0.00,438.97,0.00,0.00,16.02,12.90,4.59,0.00
2004,1771.14,1007.35,315.74,0.00,419.65,0.00,0.00,13.77,10.76,3.87,0.00
2005,1778.02,1019.69,315.82,0.00,413.44,0.00,0.00,13.56,11.65,3.86,0.00
2006,1774.20,1014.78,311.45,0.00,419.26,0.00,0.00,13.88,11.09,3.74,0.00
2007,1825.52,1057.33,319.06,0.00,421.76,0.00,0.00,12.52,10.52,4.33,0.00
2008,1747.73,1033.27,300.40,0.00,391.16,0.00,0.00,12.18,7.41,3.30,0.00
2009,1756.97,1019.23,300.78,0.00,406.72,0.00,0.00,12.84,13.48,3.92,0.00
2010,1720.03,1003.93,287.12,0.00,401.15,0.00,0.00,12.90,11.10,3.83,0.00
2011,1702.81,1003.85,280.28,0.00,393.89,0.00,0.00,10.91,9.62,4.25,0.00
2012,1686.04,998.93,272.17,0.00,387.94,0.00,0.00,12.05,11.24,3.70,0.00
2013,1670.26,987.59,271.39,0.00,384.90,0.00,0.00,11.85,10.35,4.18,0.00
2014,1712.08,1006.63,274.74,0.00,405.41,0.00,0.00,11.11,9.42,4.77,0.00
2015,1750.62,1037.98,281.87,0.00,406.50,0.00,0.00,10.78,8.74,4.74,0.00
2016,1767.76,1051.65,286.03,0.00,404.73,0.00,0.00,11.54,9.46,4.36,0.00
2017,1730.38,1029.69,279.45,0.00,396.14,0.00,0.00,12.30,8.30,4.51,0.00
2018,1724.89,1023.44,273.70,0.00,399.96,0.00,0.00,13.05,10.52,4.21,0.00
2019,1739.40,1036.24,269.51,0.00,404.64,0.00,0.00,13.81,10.39,4.81,0.00
2020,1742.26,1038.57,264.61,0.00,408.37,0.00,0.00,14.57,11.79,4.35,0.00
2021,1743.20,1035.85,264.55,0.00,413.80,0.00,0.00,15.33,9.44,4.23,0.00
2022,1670.75,998.18,251.11,0.00,393.78,0.00,0.00,16.08,8.39,3.20,0.00
2023,1634.17,976.49,248.63,0.00,380.28,0.00,0.00,16.84,8.21,3.71,0.00
2024,1634.05,975.17,249.35,0.00,380.30,0.00,0.00,17.60,7.38,4.25,0.00
