year,total,fuel_combustion_activities.total,fuel_combustion_activities.energy_industries,fuel_combustion_activities.manufacturing_construction,fuel_combustion_activities.transport,fuel_combustion_activities.other_sectors,fuel_combustion_activities.other,fugitive_emissions_from_fuels.total,fugitive_emissions_from_fuels.solid_fuels,fugitive_emissions_from_fuels.oil_natural_gas_and_energy_production,co2_transport_storage
1990,14708.20,14147.25,6374.31,3096.26,2737.53,1907.17,32.00,560.94,504.72,56.23,0.00
1991,13795.16,13272.95,5430.08,3077.60,2593.65,2164.72,6.90,522.21,469.81,52.40,0.00
1992,13708.47,13136.95,5963.18,2586.64,2635.59,1950.17,1.38,571.52,528.18,43.33,0.00
1993,14251.68,13727.27,5753.31,2518.47,3185.56,2268.55,1.38,524.41,482.55,41.86,0.00
1994,14463.09,13959.60,5535.32,2681.85,3570.32,2170.74,1.38,503.48,461.34,42.15,0.00
1995,15233.71,14702.12,5724.23,2631.37,3989.74,2355.39,1.38,531.59,481.12,50.48,0.00
1996,15887.52,15375.61,5326.85,2522.63,4531.13,2993.62,1.38,511.91,464.23,47.68,0.00
1997,16398.36,15850.54,5746.76,2301.22,4738.77,3062.41,1.38,547.82,496.61,51.21,0.00
1998,15941.70,15396.78,5986.08,2282.26,3940.76,3184.97,2.70,544.92,493.66,51.26,0.00
1999,15263.07,14742.06,5287.47,2297.02,3730.56,3424.12,2.89,521.01,468.20,52.81,0.00
2000,14880.49,14365.66,5592.97,2294.39,3676.96,2798.27,3.07,514.83,461.15,53.68,0.00
2001,16104.44,15598.08,6310.55,2213.62,3838.10,3232.55,3.26,506.37,451.55,54.82,0.00
2002,16321.55,15767.59,6563.24,2245.30,3904.60,3051.18,3.26,553.96,501.21,52.75,0.00
2003,16003.06,15419.02,6290.03,2176.27,3954.13,2995.33,3.26,584.05,526.05,58.00,0.00
2004,16401.45,15817.52,6422.29,2326.87,4132.65,2932.30,3.42,583.93,526.60,57.33,0.00
2005,16611.14,16041.54,6449.30,2465.84,4402.24,2720.84,3.33,569.60,510.52,59.08,0.00
2006,16794.61,16214.13,6505.67,2602.11,4638.89,2464.13,3.33,580.48,523.26,57.22,0.00
2007,16971.96,16384.07,6726.91,2364.20,5242.18,2047.30,3.48,587.89,529.78,58.10,0.00
2008,17975.77,17406.04,6500.18,2336.43,6162.27,2403.61,3.55,569.72,514.34,55.38,0.00
2009,16188.36,15627.55,6216.71,1958.45,5161.48,2287.58,3.34,560.80,508.94,51.86,0.00
2010,16463.15,15899.66,6346.74,1933.78,5302.47,2313.79,2.89,563.49,509.60,53.89,0.00
2011,16383.42,15810.64,6366.06,1733.72,5653.22,2054.27,3.37,572.78,527.30,45.48,0.00
2012,15757.85,15200.92,6058.83,1664.18,5672.14,1802.40,3.38,556.93,513.69,43.24,0.00
2013,15032.80,14537.44,5779.51,1659.34,5374.75,1720.82,3.01,495.37,453.50,41.87,0.00
2014,13331.93,12943.16,4452.63,1665.67,5399.05,1422.06,3.75,388.77,351.23,37.54,0.00
2015,13500.73,13099.89,4566.88,1611.37,5379.98,1537.95,3.70,400.84,361.01,39.84,0.00
2016,14368.65,13939.51,4935.46,1622.22,5767.69,1610.50,3.63,429.15,386.82,42.33,0.00
2017,14465.02,14024.28,4923.35,1704.35,5911.28,1481.18,4.14,440.73,396.11,44.63,0.00
2018,14337.33,13916.56,4807.95,1826.15,5903.48,1375.08,3.91,420.76,377.02,43.74,0.00
2019,13810.69,13401.87,4581.21,1753.80,5701.49,1361.37,4.01,408.82,364.78,44.03,0.00
2020,12657.64,12246.33,4517.22,1712.53,4650.27,1363.14,3.17,411.32,367.39,43.93,0.00
2021,12858.02,12499.32,4200.72,1742.09,5289.06,1262.87,4.59,358.69,312.65,46.05,0.00
2022,12500.62,12192.31,3419.51,1620.27,5873.31,1274.54,4.69,308.31,267.34,40.97,0.00
2023,11848.82,11514.47,3309.96,1513.97,5428.25,1257.81,4.47,334.35,295.21,39.14,0.00
2024,12511.32,12209.08,3635.86,1494.60,5743.41,1330.95,4.26,302.24,259.93,42.31,0.00
