year,total,road_transporation.total,road_transporation.cars,road_transporation.light_duty_trucks,road_transporation.heavy_duty_trucks,road_transporation.buses,road_transporation.motorcycles,road_transporation.other,railways,domestic_aviation,domestic_navigation,other_transportation,international_aviation,international_navigation
1990,2738.37,2664.50,1850.19,47.76,545.65,105.61,8.08,0.09,72.77,1.08,0.01,0.00,49.25,0.00
1991,2594.57,2512.69,1738.43,49.55,525.11,95.64,7.59,0.09,81.26,0.61,0.01,0.00,21.33,0.00
1992,2636.02,2580.43,1913.87,49.45,468.90,73.25,5.21,0.08,54.61,0.97,0.01,0.00,33.75,0.00
1993,3187.09,3139.12,2301.66,60.53,591.82,88.30,5.09,0.07,46.23,1.73,0.01,0.00,48.18,0.00
1994,3574.10,3525.29,2576.04,71.99,665.43,95.49,5.15,0.07,46.76,2.03,0.01,0.00,53.83,0.00
1995,3996.28,3945.49,2798.57,88.44,803.17,106.14,5.20,0.07,48.79,1.98,0.02,0.00,57.59,0.00
1996,4539.62,4492.01,3142.55,98.18,931.99,113.34,5.39,0.06,45.38,2.21,0.02,0.00,53.23,0.00
1997,4747.80,4701.44,3156.31,118.68,1059.34,123.41,5.63,0.06,43.98,2.37,0.02,0.00,56.07,0.00
1998,3948.52,3902.60,2792.27,123.20,785.72,88.77,5.64,0.05,42.97,2.93,0.02,0.00,50.11,0.00
1999,3738.57,3693.83,2751.73,135.57,695.19,75.82,6.24,0.05,41.88,2.83,0.02,0.00,60.09,0.00
2000,3685.44,3639.95,2853.10,141.37,605.70,61.87,7.06,0.06,42.64,2.84,0.01,0.00,69.29,0.00
2001,3847.25,3803.30,2863.36,155.12,685.07,68.31,7.40,0.06,41.62,2.32,0.02,0.00,78.46,0.00
2002,3908.60,3862.45,2847.36,193.29,770.76,74.62,7.78,0.06,43.82,2.31,0.02,0.00,80.88,0.00
2003,3958.21,3914.67,2863.72,195.55,776.55,72.94,6.70,0.05,41.14,2.37,0.02,0.00,77.11,0.00
2004,4136.75,4093.12,2824.09,231.02,905.60,87.99,6.30,0.04,41.74,1.87,0.03,0.00,57.68,0.00
2005,4406.41,4361.86,2902.13,234.05,977.08,91.47,7.54,0.04,41.78,2.74,0.03,0.00,61.35,68.75
2006,4643.28,4599.64,3039.29,241.83,1108.09,88.02,9.19,0.04,41.60,2.01,0.03,0.00,71.04,94.19
2007,5247.15,5204.53,3325.66,315.15,1314.88,102.29,16.06,0.05,40.36,2.22,0.04,0.00,93.58,158.56
2008,6167.99,6126.63,3826.12,420.04,1453.67,125.50,19.66,0.05,37.10,2.08,0.05,2.14,103.95,213.84
2009,5165.31,5128.63,3363.14,361.50,1213.47,92.11,22.29,0.05,31.23,1.98,0.04,3.43,77.91,105.20
2010,5306.75,5266.87,3539.24,405.36,1202.03,97.62,23.91,0.05,33.42,1.97,0.04,4.44,73.30,60.02
2011,5658.08,5619.31,3736.88,447.95,1286.28,109.73,24.69,0.05,35.11,2.77,0.05,0.84,68.80,105.81
2012,5677.43,5640.66,3689.95,454.18,1323.53,113.53,25.11,0.05,33.27,2.30,0.05,1.16,66.33,163.73
2013,5380.53,5344.05,3487.25,425.92,1248.71,110.62,25.42,0.05,34.26,1.73,0.03,0.47,73.07,202.00
2014,5406.30,5357.63,3450.14,425.10,1269.28,118.66,26.40,0.05,44.96,1.87,0.03,1.80,72.11,186.17
2015,5388.67,5342.35,3408.37,418.98,1292.04,117.97,27.82,0.06,41.30,1.98,0.05,3.00,74.72,208.41
2016,5778.74,5739.25,3603.04,473.00,1433.62,127.84,29.30,0.06,34.60,2.03,0.04,2.83,61.05,400.15
2017,5924.39,5885.68,3631.99,478.08,1510.80,137.01,31.82,0.09,32.26,1.72,0.04,4.69,74.24,504.37
2018,5918.47,5886.23,3613.88,472.59,1533.74,127.33,31.57,0.09,29.36,2.01,0.05,0.82,102.20,733.93
2019,5717.36,5688.75,3464.99,452.45,1461.36,127.23,35.49,0.12,25.92,1.97,0.09,0.62,77.83,618.98
2020,4664.99,4643.31,2649.83,379.59,1253.77,105.13,32.01,0.10,19.10,1.58,0.09,0.92,26.16,381.90
2021,5305.57,5280.06,3090.76,472.25,1297.94,111.06,31.34,0.15,23.09,1.47,0.07,0.88,26.95,282.85
2022,5889.62,5863.77,3664.56,536.95,0.00,0.00,26.42,0.09,23.64,1.70,0.06,0.45,61.55,0.00
2023,5442.03,5416.89,3545.32,483.37,0.00,0.00,28.98,0.11,23.81,1.20,0.06,0.07,54.32,0.00
2024,5757.96,5732.94,3687.19,528.01,0.00,0.00,32.49,0.12,22.89,1.51,0.06,0.56,59.28,0.00
