year,total,mineral_industry,chemical_industry,metal_industry,non_energy_products_from_fuels,electronic_industry,product_usese_as_ODS,other_product_manufacture_use,other
1990,1367.95,694.10,88.08,529.97,8.50,0.00,0.00,47.30,0.00
1991,1057.09,583.98,66.61,356.26,8.42,0.00,0.00,41.81,0.00
1992,1047.39,508.61,45.91,451.63,7.36,0.00,0.00,33.88,0.00
1993,874.71,412.64,44.09,353.34,8.31,0.00,28.56,27.76,0.00
1994,1051.26,526.71,70.43,389.65,8.34,0.00,28.78,27.34,0.00
1995,1056.45,542.88,88.68,360.91,6.72,0.00,29.92,27.35,0.00
1996,1057.94,563.13,83.09,346.85,8.33,0.00,27.18,29.35,0.00
1997,1097.25,578.48,102.33,342.33,12.67,0.00,31.36,30.07,0.00
1998,1075.39,592.21,111.64,289.39,16.82,0.00,28.09,37.24,0.00
1999,1099.47,593.59,115.53,303.08,15.22,0.00,28.33,43.71,0.00
2000,1138.50,598.43,114.21,321.29,14.14,0.00,41.05,49.37,0.00
2001,1198.94,622.80,120.78,327.18,23.24,0.00,57.83,47.13,0.00
2002,1205.75,554.78,113.50,393.34,23.75,0.00,71.89,48.49,0.00
2003,1273.34,565.87,136.58,415.45,18.70,0.00,90.42,46.32,0.00
2004,1324.17,587.59,126.59,418.97,27.83,0.00,111.42,51.77,0.00
2005,1397.13,636.07,137.51,410.30,24.91,0.00,132.54,55.79,0.00
2006,1441.00,673.84,140.41,390.09,26.49,0.00,154.03,56.13,0.00
2007,1451.17,705.10,138.80,352.35,22.23,0.00,178.56,54.12,0.00
2008,1322.38,749.88,97.39,209.18,19.84,0.00,204.74,41.36,0.00
2009,987.78,516.88,91.12,97.03,17.24,0.00,221.56,43.94,0.00
2010,988.76,479.39,89.91,125.93,14.97,0.00,235.15,43.41,0.00
2011,999.29,423.81,60.10,192.52,16.91,0.00,246.63,59.33,0.00
2012,1024.69,416.82,46.24,203.85,20.72,0.00,270.73,66.33,0.00
2013,1089.10,476.66,55.37,203.23,18.20,0.00,291.53,44.11,0.00
2014,1126.20,501.37,56.92,205.11,23.99,0.00,305.52,33.29,0.00
2015,1106.00,452.43,59.87,206.85,26.09,0.00,314.72,46.04,0.00
2016,1112.51,431.36,62.09,215.86,26.66,0.00,330.65,45.89,0.00
2017,1171.89,496.55,64.94,220.77,31.86,0.00,326.49,31.29,0.00
2018,1194.97,540.49,58.15,216.20,34.33,0.00,307.26,38.55,0.00
2019,1218.67,565.08,60.30,188.99,33.29,0.00,299.27,71.73,0.00
2020,1151.59,559.70,61.98,142.88,31.48,0.00,284.17,71.38,0.00
2021,1127.48,567.53,65.21,129.07,35.12,0.00,287.30,43.25,0.00
2022,1102.45,574.12,64.81,89.34,14.87,0.00,297.54,61.77,0.00
2023,1009.07,526.71,47.90,51.41,14.66,0.00,304.71,63.68,0.00
2024,986.67,528.15,61.65,53.67,15.14,0.00,303.59,24.47,0.00
