year,total,forest_land,cropland,grassland,wetlands,settlements,other_land,harvested_wood_prducts,other
1990,-4615.97,-4812.86,255.62,-479.63,11.65,461.49,14.77,-67.01,0.00
1991,-4920.47,-4903.24,120.19,-678.36,9.46,472.12,19.82,39.54,0.00
1992,-5064.66,-5124.28,118.82,-640.13,9.46,474.37,20.22,76.88,0.00
1993,-5041.35,-5182.50,119.54,-591.07,9.46,476.62,20.62,105.98,0.00
1994,-5189.86,-5285.97,120.76,-579.39,9.46,478.87,21.02,45.38,0.00
1995,-5282.52,-5402.61,123.23,-543.53,9.46,481.12,21.43,28.38,0.00
1996,-5780.43,-5490.46,118.19,-899.46,6.36,517.71,10.01,-42.77,0.00
1997,-5972.69,-5781.27,118.93,-864.72,6.36,514.39,9.62,24.01,0.00
1998,-6091.04,-5855.61,120.89,-811.50,6.36,511.07,9.23,-71.50,0.00
1999,-6149.98,-5952.63,121.57,-802.04,6.36,507.76,8.83,-39.82,0.00
2000,-6255.46,-6042.07,121.72,-769.23,6.36,504.43,8.44,-85.11,0.00
2001,-6301.77,-6123.52,124.04,-740.12,6.36,501.11,8.05,-77.69,0.00
2002,-7400.74,-7227.85,122.26,-709.27,6.36,498.07,7.65,-97.97,0.00
2003,-7033.94,-7155.18,137.57,-501.86,11.13,587.84,15.55,-128.98,0.00
2004,-7195.97,-7255.68,139.85,-529.57,11.13,586.75,15.69,-164.13,0.00
2005,-7222.29,-7265.62,142.52,-527.22,11.13,585.67,15.82,-184.59,0.00
2006,-7145.74,-7170.57,144.80,-513.02,11.13,584.60,15.96,-218.65,0.00
2007,-7553.94,-7298.96,127.01,-564.31,29.80,444.67,18.70,-310.86,0.00
2008,-7291.98,-7145.60,128.59,-529.97,29.80,434.65,19.02,-228.47,0.00
2009,-7213.98,-7143.47,130.48,-492.21,29.80,424.64,19.33,-182.54,0.00
2010,-7137.71,-7145.52,132.56,-459.85,29.80,414.63,19.64,-128.97,0.00
2011,-7036.11,-7138.94,137.19,-411.60,29.80,402.25,19.75,-74.55,0.00
2012,-6938.81,-7108.42,140.25,-346.14,29.80,389.87,19.85,-64.02,0.00
2013,-5384.49,-5356.71,157.19,-513.46,0.00,348.88,4.99,-25.38,0.00
2014,406.78,512.48,166.58,-493.49,0.00,329.61,4.42,-112.83,0.00
2015,507.22,625.09,172.59,-475.62,0.00,310.34,3.86,-129.04,0.00
2016,675.11,743.94,175.87,-443.42,0.00,296.67,3.90,-101.84,0.00
2017,790.70,857.14,133.93,-392.03,22.94,250.52,3.94,-85.75,0.00
2018,876.23,967.72,135.53,-369.23,22.94,241.20,3.99,-125.92,0.00
2019,-4621.19,-4440.95,133.91,-320.37,22.94,232.12,4.03,-252.87,0.00
2020,-4432.56,-4393.98,136.01,-282.47,22.94,223.04,4.07,-142.18,0.00
2021,-4417.78,-4354.60,128.58,-237.66,22.94,213.96,4.11,-195.13,0.00
2022,-4264.10,-4164.72,128.79,-155.29,22.94,204.88,4.15,-304.87,0.00
2023,-4400.77,-4308.07,128.07,-171.76,22.94,194.95,3.82,-270.71,0.00
2024,-4451.53,-4297.39,126.59,-150.98,22.94,184.61,3.48,-340.78,0.00
