year,total,solid_waste_disposal,biological_treatment_solid_waste,incineration_open_burning_waste,waste_water_treatment_discharge,other
1990,785.64,437.06,0.00,2.00,346.58,0.00
1991,781.79,446.50,0.00,2.00,333.29,0.00
1992,748.74,436.60,0.00,2.00,310.14,0.00
1993,728.44,429.96,0.00,2.00,296.47,0.00
1994,733.71,425.69,0.00,1.20,306.81,0.00
1995,738.04,421.98,0.00,0.66,315.41,0.00
1996,745.60,445.45,0.00,0.96,299.19,0.00
1997,788.94,482.33,0.00,0.31,306.31,0.00
1998,819.32,509.25,0.00,0.95,309.12,0.00
1999,844.32,538.25,0.00,2.58,303.49,0.00
2000,878.71,563.33,0.00,3.16,312.21,0.00
2001,894.75,576.77,0.00,3.09,314.89,0.00
2002,886.78,578.24,5.54,2.59,300.41,0.00
2003,900.75,587.19,5.58,3.72,304.26,0.00
2004,895.68,594.04,4.10,3.44,294.10,0.00
2005,858.84,579.37,2.62,3.32,273.53,0.00
2006,808.02,543.54,2.03,4.04,258.42,0.00
2007,749.92,502.92,2.61,4.98,239.41,0.00
2008,671.95,430.18,3.20,5.23,233.34,0.00
2009,615.47,372.88,4.02,6.47,232.10,0.00
2010,601.37,365.05,4.68,7.37,224.26,0.00
2011,609.71,373.43,8.74,7.42,220.12,0.00
2012,593.47,363.64,8.60,7.70,213.52,0.00
2013,568.77,339.50,11.63,17.22,200.41,0.00
2014,533.09,297.81,12.36,20.39,202.52,0.00
2015,543.29,300.62,12.71,27.41,202.55,0.00
2016,549.11,316.22,13.06,23.66,196.18,0.00
2017,528.98,302.69,17.18,27.55,181.56,0.00
2018,487.71,270.47,18.68,20.75,177.81,0.00
2019,466.45,249.43,19.16,20.63,177.24,0.00
2020,443.04,224.55,19.87,19.67,178.95,0.00
2021,421.07,202.21,23.06,14.01,181.78,0.00
2022,381.22,180.48,19.06,14.04,167.65,0.00
2023,378.14,175.46,17.85,16.90,167.92,0.00
2024,351.76,153.61,19.15,16.29,162.72,0.00
