year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,international_aviation,international_navigation,co2_emissions_from_biomass,others,lulucf
1990,18859.93,6374.31,3096.26,2737.53,1367.95,1907.17,1998.15,785.64,49.25,0.00,2581.33,592.94,-4615.97
1991,17503.84,5430.08,3077.60,2593.65,1057.09,2164.72,1869.81,781.79,21.33,0.00,2450.20,529.11,-4920.47
1992,17491.31,5963.18,2586.64,2635.59,1047.39,1950.17,1986.71,748.74,33.75,0.00,2494.41,572.90,-5064.66
1993,17730.07,5753.31,2518.47,3185.56,874.71,2268.55,1875.24,728.44,48.18,0.00,2457.02,525.79,-5041.35
1994,18132.62,5535.32,2681.85,3570.32,1051.26,2170.74,1884.57,733.71,53.83,0.00,2540.03,504.86,-5189.86
1995,18909.68,5724.23,2631.37,3989.74,1056.45,2355.39,1881.48,738.04,57.59,0.00,2565.09,532.97,-5282.52
1996,19496.20,5326.85,2522.63,4531.13,1057.94,2993.62,1805.14,745.60,53.23,0.00,2615.69,513.29,-5780.43
1997,20037.48,5746.76,2301.22,4738.77,1097.25,3062.41,1752.93,788.94,56.07,0.00,2713.26,549.20,-5972.69
1998,19626.67,5986.08,2282.26,3940.76,1075.39,3184.97,1790.26,819.32,50.11,0.00,2774.78,547.62,-6091.04
1999,19010.17,5287.47,2297.02,3730.56,1099.47,3424.12,1803.31,844.32,60.09,0.00,2525.28,523.89,-6149.98
2000,18786.11,5592.97,2294.39,3676.96,1138.50,2798.27,1888.42,878.71,69.29,0.00,2575.59,517.91,-6255.46
2001,20055.05,6310.55,2213.62,3838.10,1198.94,3232.55,1856.92,894.75,78.46,0.00,3193.63,509.63,-6301.77
2002,20328.96,6563.24,2245.30,3904.60,1205.75,3051.18,1914.89,886.78,80.88,0.00,2679.88,557.22,-7400.74
2003,19996.35,6290.03,2176.27,3954.13,1273.34,2995.33,1819.19,900.75,77.11,0.00,2941.75,587.31,-7033.94
2004,20392.44,6422.29,2326.87,4132.65,1324.17,2932.30,1771.14,895.68,57.68,0.00,2721.69,587.35,-7195.97
2005,20645.12,6449.30,2465.84,4402.24,1397.13,2720.84,1778.02,858.84,61.35,68.75,3314.75,572.92,-7222.29
2006,20817.82,6505.67,2602.11,4638.89,1441.00,2464.13,1774.20,808.02,71.04,94.19,2921.13,583.80,-7145.74
2007,20998.56,6726.91,2364.20,5242.18,1451.17,2047.30,1825.52,749.92,93.58,158.56,3228.12,591.37,-7553.94
2008,21717.82,6500.18,2336.43,6162.27,1322.38,2403.61,1747.73,671.95,103.95,213.84,3420.92,573.28,-7291.98
2009,19548.58,6216.71,1958.45,5161.48,987.78,2287.58,1756.97,615.47,77.91,105.20,3183.18,564.14,-7213.98
2010,19773.31,6346.74,1933.78,5302.47,988.76,2313.79,1720.03,601.37,73.30,60.02,3308.01,566.38,-7137.71
2011,19695.23,6366.06,1733.72,5653.22,999.29,2054.27,1702.81,609.71,68.80,105.81,3281.22,576.15,-7036.11
2012,19062.05,6058.83,1664.18,5672.14,1024.69,1802.40,1686.04,593.47,66.33,163.73,3220.92,560.31,-6938.81
2013,18360.93,5779.51,1659.34,5374.75,1089.10,1720.82,1670.26,568.77,73.07,202.00,3368.39,498.38,-5384.49
2014,16703.29,4452.63,1665.67,5399.05,1126.20,1422.06,1712.08,533.09,72.11,186.17,2952.35,392.52,406.78
2015,16900.64,4566.88,1611.37,5379.98,1106.00,1537.95,1750.62,543.29,74.72,208.41,3206.97,404.54,507.22
2016,17798.04,4935.46,1622.22,5767.69,1112.51,1610.50,1767.76,549.11,61.05,400.15,3226.87,432.78,675.11
2017,17896.27,4923.35,1704.35,5911.28,1171.89,1481.18,1730.38,528.98,74.24,504.37,3164.68,444.87,790.70
2018,17744.90,4807.95,1826.15,5903.48,1194.97,1375.08,1724.89,487.71,102.20,733.93,3038.76,424.67,876.23
2019,17235.21,4581.21,1753.80,5701.49,1218.67,1361.37,1739.40,466.45,77.83,618.98,3001.03,412.82,-4621.19
2020,15994.53,4517.22,1712.53,4650.27,1151.59,1363.14,1742.26,443.04,26.16,381.90,2958.34,414.49,-4432.56
2021,16149.77,4200.72,1742.09,5289.06,1127.48,1262.87,1743.20,421.07,26.95,282.85,3261.22,363.28,-4417.78
2022,15655.04,3419.51,1620.27,5873.31,1102.45,1274.54,1670.75,381.22,61.55,0.00,2848.18,313.00,-4264.10
2023,14870.19,3309.96,1513.97,5428.25,1009.07,1257.81,1634.17,378.14,54.32,0.00,2789.26,338.82,-4400.77
2024,15483.81,3635.86,1494.60,5743.41,986.67,1330.95,1634.05,351.76,59.28,0.00,2705.89,306.51,-4451.53
