year,international_bunkers.total,international_bunkers.aviation,international_bunkers.navigation,multilateral_operations,co2_emissions_from_biomass,co2_captured,longerim_storage_waste_disposal,indirect_n20,indirect_co2
1990,49.25,49.25,0.00,0.00,2581.33,0.00,1094.06,0.00,0.00
1991,21.33,21.33,0.00,0.00,2450.20,0.00,1155.14,0.00,0.00
1992,33.75,33.75,0.00,0.00,2494.41,0.00,1221.13,0.00,0.00
1993,48.18,48.18,0.00,0.00,2457.02,0.00,1289.20,0.00,0.00
1994,53.83,53.83,0.00,0.00,2540.03,0.00,1367.20,0.00,0.00
1995,57.59,57.59,0.00,0.00,2565.09,0.00,1477.10,0.00,0.00
1996,53.23,53.23,0.00,0.00,2615.69,0.00,1594.52,0.00,0.00
1997,56.07,56.07,0.00,0.19,2713.26,0.00,1706.94,0.00,0.00
1998,50.11,50.11,0.00,0.25,2774.78,0.00,1827.21,0.00,0.00
1999,60.09,60.09,0.00,0.38,2525.28,0.00,1949.27,0.00,0.00
2000,69.29,69.29,0.00,0.50,2575.59,0.00,2064.77,0.00,0.00
2001,78.46,78.46,0.00,0.56,3193.63,0.00,2173.89,0.00,0.00
2002,80.88,80.88,0.00,0.56,2679.88,0.00,2301.15,0.00,0.00
2003,77.11,77.11,0.00,0.63,2941.75,0.00,2419.56,0.00,0.00
2004,57.68,57.68,0.00,0.63,2721.69,0.00,2521.65,0.00,0.00
2005,130.10,61.35,68.75,0.44,3314.75,0.00,2628.09,0.00,0.00
2006,165.23,71.04,94.19,0.44,2921.13,0.00,2741.55,0.00,0.00
2007,252.14,93.58,158.56,0.44,3228.12,0.00,2850.43,0.00,0.00
2008,317.79,103.95,213.84,0.45,3420.92,0.00,2959.42,0.00,0.00
2009,183.11,77.91,105.20,0.42,3183.18,0.00,3051.00,0.00,0.00
2010,133.32,73.30,60.02,0.38,3308.01,0.00,3115.30,0.00,0.00
2011,174.61,68.80,105.81,0.45,3281.22,0.00,3177.27,0.00,0.00
2012,230.06,66.33,163.73,0.17,3220.92,0.00,3221.85,0.00,0.00
2013,275.07,73.07,202.00,0.44,3368.39,0.00,3253.81,0.00,0.00
2014,258.27,72.11,186.17,0.54,2952.35,0.00,3271.64,0.00,0.00
2015,283.13,74.72,208.41,0.51,3206.97,0.00,3300.50,0.00,0.00
2016,461.21,61.05,400.15,0.51,3226.87,0.00,3302.84,0.00,0.00
2017,578.61,74.24,504.37,0.57,3164.68,0.00,3302.90,0.00,0.00
2018,836.13,102.20,733.93,0.55,3038.76,0.00,3302.90,0.00,0.00
2019,696.81,77.83,618.98,0.61,3001.03,0.00,3302.90,0.00,0.00
2020,408.06,26.16,381.90,0.44,2958.34,0.00,3302.94,0.00,0.00
2021,309.80,26.95,282.85,0.64,3261.22,0.00,3302.95,0.00,0.00
2022,61.55,61.55,0.00,0.65,2848.18,0.00,3302.96,0.00,0.00
2023,54.32,54.32,0.00,0.58,2789.26,0.00,3302.96,0.00,0.00
2024,59.28,59.28,0.00,0.56,2705.89,0.00,3302.96,0.00,0.00
